Customer_ID,Age,Gender,Loyalty_Member,Product_Type,SKU,Rating,Order_Status,Payment_Method,Total_Price,Unit_Price,Quantity,Purchase_Date,Shipping_Type,Add_ons_Purchased,Month
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,Standard,"Accessory,Accessory,Accessory",40.21,Mar
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,Overnight,Impulse Item,26.09,Apr
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,Express,,0,Oct
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,Overnight,"Impulse Item,Impulse Item",60.16,Aug
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,Express,Accessory,35.56,May
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83,20.75,4,Standard,"Impulse Item,Accessory",65.78,May
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,Overnight,,0,Jan
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,Overnight,"Extended Warranty,Extended Warranty",75.33,Jun
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,Standard,Impulse Item,43.05,Oct
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,Express,,0,Jan
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,Overnight,"Impulse Item,Accessory,Impulse Item",90.38,Jun
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,Overnight,"Accessory,Extended Warranty",55.48,Nov
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,Express,"Extended Warranty,Impulse Item,Extended Warranty",65.85,Sep
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,Standard,"Accessory,Accessory,Accessory",70.17,Jul
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,Overnight,"Accessory,Impulse Item,Accessory",57.81,Mar
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,Standard,"Extended Warranty,Extended Warranty",69.31,Jan
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,Standard,Accessory,8.3,May
1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83,20.75,4,Standard,"Accessory,Accessory,Accessory",80,Sep
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,Overnight,,0,Jul
1018,34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,Express,"Impulse Item,Extended Warranty",70.39,Jul
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83,20.75,4,Express,,0,Mar
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,Express,"Impulse Item,Impulse Item",37.87,Apr
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,Express,Accessory,49.17,Jul
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,Express,"Impulse Item,Accessory,Extended Warranty",37.13,Dec
1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,Overnight,"Accessory,Extended Warranty",49.54,Mar
1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,6758.64,844.83,8,Overnight,"Impulse Item,Accessory,Impulse Item",73.49,Apr
